8.8942	21.0013	4.6502	1545134196.7961
8.8942	21.0013	4.6502	1545134196.8529
8.8942	21.0013	4.6502	1545134196.9137
8.8941	21.0013	4.6502	1545134196.9735
8.8941	21.0012	4.6502	1545134197.0357
8.8941	21.0012	4.6502	1545134197.093
8.8941	21.0012	4.6502	1545134197.1533
8.8941	21.0012	4.6502	1545134197.2134
8.8941	21.0012	4.6502	1545134197.2757
8.8941	21.0012	4.6502	1545134197.3331
8.8941	21.0012	4.6502	1545134197.3936
8.8941	21.0012	4.6502	1545134197.4533
8.8941	21.0012	4.6502	1545134197.5161
8.8941	21.0012	4.6502	1545134197.5734
8.8941	21.0012	4.6502	1545134197.6335
8.8941	21.0012	4.6502	1545134197.6935
8.8941	21.0012	4.6502	1545134197.7533
8.8941	21.0012	4.6502	1545134197.8135
8.8941	21.0012	4.6502	1545134197.8729
8.8941	21.0012	4.6502	1545134197.9332
8.8941	21.0012	4.6502	1545134197.9957
8.8941	21.0012	4.6502	1545134198.053
8.8941	21.0012	4.6502	1545134198.1132
8.8941	21.0012	4.6502	1545134198.1736
8.8941	21.0012	4.6502	1545134198.2358
8.8941	21.0012	4.6502	1545134198.293
8.8941	21.0012	4.6502	1545134198.3529
8.8941	21.0012	4.6502	1545134198.4134
8.8941	21.0012	4.6502	1545134198.4758
8.8941	21.0012	4.6502	1545134198.5329
8.8941	21.0012	4.6502	1545134198.5933
8.8941	21.0012	4.6502	1545134198.6532
8.8941	21.0012	4.6502	1545134198.7158
8.8941	21.0012	4.6502	1545134198.7732
8.8941	21.0012	4.6502	1545134198.8335
8.8941	21.0012	4.6502	1545134198.8931
8.8941	21.0012	4.6502	1545134198.9559
8.8941	21.0012	4.6502	1545134199.0129
8.8941	21.0012	4.6502	1545134199.0738
8.8941	21.0012	4.6502	1545134199.133
8.8941	21.0012	4.6502	1545134199.1957
8.8941	21.0012	4.6502	1545134199.253
8.8941	21.0012	4.6502	1545134199.3133
8.8941	21.0012	4.6502	1545134199.3736
8.8941	21.0012	4.6502	1545134199.4359
8.8941	21.0012	4.6502	1545134199.493
8.8941	21.0012	4.6502	1545134199.5532
8.8941	21.0012	4.6502	1545134199.6134
8.8941	21.0012	4.6502	1545134199.673
8.8941	21.0012	4.6502	1545134199.7332
8.8941	21.0012	4.6502	1545134199.7933
8.8941	21.0012	4.6502	1545134199.8532
8.8941	21.0012	4.6502	1545134199.9157
8.8941	21.0011	4.6502	1545134199.9733
8.8941	21.0011	4.6502	1545134200.0335
8.8941	21.0011	4.6502	1545134200.0936
8.8941	21.0011	4.6502	1545134200.1569
8.8941	21.0011	4.6502	1545134200.2133
8.8941	21.0011	4.6502	1545134200.2733
8.8941	21.0011	4.6502	1545134200.334
8.8941	21.0011	4.6502	1545134200.3957
8.8941	21.0011	4.6502	1545134200.453
8.8941	21.0011	4.6502	1545134200.5133
8.8941	21.0011	4.6502	1545134200.5735
8.8941	21.0011	4.6502	1545134200.6359
8.8941	21.0011	4.6502	1545134200.693
8.8941	21.0011	4.6502	1545134200.7531
8.8941	21.0011	4.6502	1545134200.8134
8.8941	21.0011	4.6502	1545134200.8729
8.8941	21.0011	4.6502	1545134200.933
8.8941	21.0011	4.6502	1545134200.9929
8.8941	21.0011	4.6502	1545134201.0534
8.8941	21.0011	4.6502	1545134201.1157
8.8941	21.0011	4.6502	1545134201.1733
8.8941	21.0011	4.6502	1545134201.2333
8.8941	21.0011	4.6502	1545134201.2937
8.8941	21.0011	4.6502	1545134201.3557
8.8941	21.0011	4.6502	1545134201.4129
8.8941	21.0011	4.6502	1545134201.4733
8.8941	21.0011	4.6502	1545134201.5332
8.8941	21.0011	4.6502	1545134201.5957
8.8941	21.0011	4.6502	1545134201.653
8.8941	21.0011	4.6502	1545134201.7133
8.8941	21.0011	4.6502	1545134201.7735
8.8941	21.0011	4.6502	1545134201.836
8.8941	21.0011	4.6502	1545134201.893
8.8941	21.0011	4.6502	1545134201.9533
8.8941	21.0011	4.6502	1545134202.0132
8.8941	21.0011	4.6502	1545134202.0758
8.8941	21.0011	4.6502	1545134202.1331
8.8941	21.0011	4.6502	1545134202.1931
