14.8496	18.2757	4.6901	1545136267.0769
14.8496	18.2757	4.6901	1545136267.133
14.8496	18.2757	4.6901	1545136267.133
14.8496	18.2757	4.6901	1545136267.194
14.8496	18.2757	4.6901	1545136267.194
14.8496	18.2757	4.6901	1545136267.2531
14.8496	18.2757	4.6901	1545136267.2531
14.8496	18.2757	4.6901	1545136267.3127
14.8496	18.2757	4.6901	1545136267.3127
14.8496	18.2757	4.6901	1545136267.3732
14.8496	18.2757	4.6901	1545136267.3732
14.8496	18.2757	4.6901	1545136267.4331
14.8496	18.2757	4.6901	1545136267.4331
14.8496	18.2757	4.6901	1545136267.4929
14.8496	18.2757	4.6901	1545136267.4929
14.8496	18.2757	4.6901	1545136267.5528
14.8496	18.2757	4.6901	1545136267.5528
14.8496	18.2757	4.6901	1545136267.613
14.8496	18.2757	4.6901	1545136267.613
14.8496	18.2757	4.6901	1545136267.6731
14.8496	18.2757	4.6901	1545136267.6731
14.8496	18.2757	4.6901	1545136267.7331
14.8496	18.2757	4.6901	1545136267.7331
14.8496	18.2757	4.6901	1545136267.793
14.8496	18.2757	4.6901	1545136267.793
14.8496	18.2757	4.6901	1545136267.853
14.8496	18.2757	4.6901	1545136267.853
14.8496	18.2757	4.6901	1545136267.9131
14.8496	18.2757	4.6901	1545136267.9131
14.8496	18.2757	4.6901	1545136267.9731
14.8496	18.2757	4.6901	1545136267.9731
14.8496	18.2757	4.6901	1545136268.037
14.8496	18.2757	4.6901	1545136268.037
14.8496	18.2757	4.6901	1545136268.0932
14.8496	18.2757	4.6901	1545136268.0932
14.8496	18.2757	4.6901	1545136268.1531
14.8496	18.2757	4.6901	1545136268.1531
14.8496	18.2757	4.6901	1545136268.2135
14.8496	18.2757	4.6901	1545136268.2135
14.8496	18.2757	4.6901	1545136268.2759
14.8496	18.2757	4.6901	1545136268.2759
14.8496	18.2757	4.6901	1545136268.3329
14.8496	18.2757	4.6901	1545136268.3329
14.8496	18.2757	4.6901	1545136268.3931
14.8496	18.2757	4.6901	1545136268.3931
14.8496	18.2757	4.6901	1545136268.4531
14.8496	18.2757	4.6901	1545136268.4531
14.8496	18.2757	4.6901	1545136268.5158
14.8496	18.2757	4.6901	1545136268.5158
14.8496	18.2757	4.6901	1545136268.5729
14.8496	18.2757	4.6901	1545136268.5729
14.8496	18.2757	4.6901	1545136268.6331
14.8496	18.2757	4.6901	1545136268.6331
14.8496	18.2757	4.6901	1545136268.6931
